,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
0,9.8100,9.8100,9.7600,9.7700,9.7700,354024,0.0000,1.0000,2020-10-09
1,9.8499,9.8499,9.7700,9.7850,9.7850,127320,0.0000,1.0000,2020-10-08
2,9.7800,9.8400,9.7500,9.8000,9.8000,238988,0.0000,1.0000,2020-10-07
3,9.8400,9.9000,9.7600,9.7800,9.7800,884224,0.0000,1.0000,2020-10-06
4,9.9500,9.9500,9.8250,9.8650,9.8650,824979,0.0000,1.0000,2020-10-05
5,9.8900,9.9500,9.8800,9.9500,9.9500,80313,0.0000,1.0000,2020-10-02
6,9.9500,9.9800,9.9000,9.9400,9.9400,2674171,0.0000,1.0000,2020-10-01
7,10.0000,10.0000,9.9200,9.9400,9.9400,61188,0.0000,1.0000,2020-09-30
8,10.0300,10.0300,9.9101,9.9400,9.9400,92567,0.0000,1.0000,2020-09-29
9,10.0500,10.0584,9.9100,9.9500,9.9500,265312,0.0000,1.0000,2020-09-28
10,9.9700,9.9700,9.8700,9.8800,9.8800,367137,0.0000,1.0000,2020-09-25
11,9.9300,9.9348,9.8700,9.8700,9.8700,79964,0.0000,1.0000,2020-09-24
12,9.9311,9.9500,9.9200,9.9500,9.9500,48764,0.0000,1.0000,2020-09-23
13,10.0400,10.0400,9.9100,9.9200,9.9200,69736,0.0000,1.0000,2020-09-22
14,9.9300,10.0800,9.9300,9.9500,9.9500,618902,0.0000,1.0000,2020-09-21
15,10.0000,10.0000,9.9300,9.9500,9.9500,357821,0.0000,1.0000,2020-09-18
16,10.4800,10.4800,9.9300,9.9300,9.9300,71738,0.0000,1.0000,2020-09-17
17,9.9700,10.0100,9.9225,9.9750,9.9750,50087,0.0000,1.0000,2020-09-16
18,9.9850,10.0000,9.9050,9.9700,9.9700,71688,0.0000,1.0000,2020-09-15
19,10.0500,10.1000,9.9500,10.0000,10.0000,49177,0.0000,1.0000,2020-09-14
20,10.0500,10.1000,9.9200,9.9600,9.9600,47627,0.0000,1.0000,2020-09-11
21,10.0000,10.0250,9.8360,9.9600,9.9600,1758528,0.0000,1.0000,2020-09-10
22,10.0000,10.0100,9.9100,9.9900,9.9900,1775622,0.0000,1.0000,2020-09-09
23,10.2700,10.2700,9.9150,9.9500,9.9500,82469,0.0000,1.0000,2020-09-08
24,10.0000,10.0000,9.9500,10.0000,10.0000,11506,0.0000,1.0000,2020-09-04
